CATID,z_spec,Mstar,M_r,r_e,SIGMA_RE,SIGMA_RE_ERR,LAMBDAR_RE_MGE,LAMBDAR_RE_MGE_ERR,TYPE,WARNSKER,WARNZ,ISBEST,epsMGE_Re
417440,0.0506200008,11.2100000381,-22.4899997711,4.5100002289,205.229019165,1.3206880093,0.1376648098,0.0039837561,0.0,0,0,1,0.0635173768
417486,0.0500399992,10.0900001526,-19.8099994659,2.8699998856,63.1101760864,2.084846735,0.151553914,0.0241550226,0.5,0,0,1,0.0482657887
417580,0.0395999998,9.9300003052,-19.5400009155,3.0699999332,76.3239440918,1.7916982174,0.3121892512,0.0184735078,0.5,0,0,1,0.0769385695
422389,0.0508400016,10.4300003052,-20.6599998474,3.1099998951,95.6476211548,1.2326641083,0.1958127618,0.0107308114,0.0,0,0,1,0.0780997723
422406,0.0505199991,10.0500001907,-20.0300006866,1.2000000477,83.2005004883,1.5729342699,,,0.0,0,0,1,0.1804690361
463148,0.0537099987,10.0200004578,-20.2900009155,2.4500000477,74.5339355469,2.7676224709,0.2575197816,0.0290806275,0.5,0,0,1,0.038775336
485883,0.0549100004,10.5399999619,-21.0400009155,3.4400000572,185.9225311279,1.5705362558,0.0992118195,0.0098669492,0.5,0,0,1,0.2022932917
485921,0.0552500002,10.4799995422,-20.9899997711,2.1400001049,119.6625213623,1.4144316912,,,0.0,0,0,1,0.0847650096
492411,0.0556299984,10.6999998093,-21.3700008392,1.8799999952,123.9730758667,1.0368945599,0.1044783667,0.008923104,0.0,0,0,1,0.1003549024
492486,0.0554100014,10.1199998856,-19.9500007629,1.1000000238,160.1258087158,2.3760962486,,,0.0,0,0,1,0.1667063832
492690,0.0302200001,10.2299995422,-20.4400005341,2.0199999809,125.1198959351,0.9040212035,0.0871701166,0.0056761676,0.5,0,0,1,0.1331500113
492941,0.0557399988,10.3500003815,-20.6000003815,3.4500000477,120.1988830566,2.1590371132,0.1834122688,0.0138325607,0.0,0,0,1,0.0845093057
493028,0.0503100008,10.720000267,-21.5,5.3699998856,133.3571929932,1.3106126785,0.1502999365,0.0067085456,0.5,0,0,1,0.165256232
497035,0.0768399984,11.1999998093,-22.5499992371,4.4299998283,226.3887023926,1.4574811459,0.4465206265,0.0049743019,0.5,0,0,1,0.2880368829
504879,0.05418,10.4300003052,-20.8600006104,1.8099999428,127.6147232056,1.1364260912,0.1366301626,0.0070197028,0.5,0,0,1,0.0954119861
505765,0.0804499984,10.9099998474,-21.9599990845,2.0499999523,183.4499511719,1.5395791531,0.2626455426,0.0068855383,0.0,0,0,1,0.0471843183
507721,0.0772200003,11.3900003433,-23.0699996948,5.0399999619,196.9945831299,1.615884304,0.1430472136,0.0048256237,0.0,0,0,1,0.0173621867
508180,0.0555399992,11.0600004196,-22.2099990845,5.4200000763,210.2044830322,1.6458117962,0.2020373046,0.0061544208,0.5,0,0,1,0.3207145631
508268,0.0548399985,10.25,-20.5400009155,7.5799999237,111.2029647827,3.537681818,0.1304197311,0.0172638614,0.5,0,0,1,0.2424382269
508593,0.0564699993,10.5799999237,-21.1900005341,4.0900001526,135.4603424072,1.8523445129,0.1309427768,0.011033006,0.5,0,0,1,0.1136029214
508632,0.0567199998,10.5600004196,-21.2099990845,4.4099998474,80.5314025879,1.074332118,0.1838780493,0.0090221027,0.5,0,0,1,0.0924777389
508751,0.0522699989,10.2299995422,-20.3500003815,1.4299999475,109.6375808716,1.7946584225,,,0.5,0,0,1,0.1146023571
509075,0.0504099987,10.5200004578,-20.9500007629,4.1900000572,131.7769317627,1.4296042919,0.1889995486,0.0086312117,0.0,0,0,1,0.1107479557
517205,0.0765099972,11.2399997711,-22.6399993896,6.7600002289,244.9363708496,2.7031414509,0.0737018958,0.0067395968,0.0,0,0,1,0.1758478433
517278,0.0281300005,11.0600004196,-22.0300006866,5.3099999428,247.6589050293,1.1225458384,0.3182860017,0.0028302798,0.5,0,0,1,0.3519613743
518829,0.0384300016,9.9300003052,-19.5599994659,1.8799999952,99.4152832031,1.2936141491,,,0.5,0,0,1,0.1405465156
519141,0.0859099999,10.9200000763,-22.0499992371,2.7899999619,162.7945556641,1.3534559011,0.1521656364,0.0078983093,0.5,0,0,1,0.1065774336
521823,0.0783400014,10.9399995804,-21.8899993896,3.2100000381,163.5314178467,2.1315164566,0.0803201646,0.0117953448,0.0,0,0,1,0.0535074137
536454,0.0598899983,11.0799999237,-22.3199996948,6.6900000572,249.1312561035,2.4169406891,0.0918704718,0.0046126484,0.0,0,0,1,0.14045614
536963,0.0829299986,10.9200000763,-21.7800006866,2.5699999332,220.2948150635,1.984672904,0.261099726,0.0083465204,0.5,0,0,1,0.1665045619
543489,0.0531199984,10.9300003052,-21.9799995422,5.2100000381,153.2646179199,1.3987966776,0.0810437799,0.0071906336,0.0,0,0,1,0.0267736558
543531,0.0526000001,10.4099998474,-20.7099990845,2.8800001144,142.3636474609,1.7979581356,0.1129495502,0.0110419877,0.5,0,0,1,0.101312764
